2025-11-11 21:06:51 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:06:51 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:07:09 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:07:09 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:07:09 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:07:09 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:07:51 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:07:51 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:07:51 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:07:51 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:07:57 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:07:57 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:07:57 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:07:57 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:08:15 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:08:15 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:08:15 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:08:15 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:08:27 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:08:27 [INFO] app_logger, logger.py: Logger initialized.
